empty_slots,free_bikes,Latitude,Longitude,Bike_station,Total_bikes,Category,Rating,Restaurant_name,Location,Distance
10,4,49.28,-123.12,Hornby & Nelson,14,Flower Store,-1.0,Fleurs d'Amour ,437 Robson St ,214.0
10,4,49.28,-123.12,Hornby & Nelson,14,Flower Store,-1.0,Bonus Eventus Florist ,345 Robson St ,334.0
10,4,49.28,-123.12,Hornby & Nelson,14,Flower Store,-1.0,Granville Station Flowers ,655 Seymour St ,380.0
10,4,49.28,-123.12,Hornby & Nelson,14,Seafood,4.5, Blue Water Cafe, 1095 Hamilton St,2244.53
10,4,49.28,-123.12,Hornby & Nelson,14,"Seafood, Steakhouses",4.0, Joe Fortes Seafood & Chop House, 777 Thurlow Street,3206.83
10,4,49.28,-123.12,Hornby & Nelson,14,Italian,4.5, Lupo, 869 Hamilton Street,2499.67
10,4,49.28,-123.12,Hornby & Nelson,14,"Breakfast & Brunch, Middle Eastern, Wine Bars",4.0, Medina Cafe, 780 Richards Street,2749.8
10,4,49.28,-123.12,Hornby & Nelson,14,"Canadian (New), Seafood",4.0, The Flying Pig, 1168 Hamilton Street,2108.81
26,4,49.28,-123.12,Robson & Granville,30,Restaurant,-1.0,Le Cassis Patisserie & Cooking School ,910 Beatty St ,514.0
26,4,49.28,-123.12,Robson & Granville,30,Flower Store,-1.0,Bay Fresh Flowers ,1b21-650 Georgia St W ,228.0
26,4,49.28,-123.12,Robson & Granville,30,Flower Store,-1.0,Divine Vines ,1024 Mainland St ,452.0
26,4,49.28,-123.12,Robson & Granville,30,Flower Store,-1.0,Angela & Gabriel's Flowers Inc ,925 Georgia St W ,472.0
26,4,49.28,-123.12,Robson & Granville,30,Flower Store,-1.0,7 Foot Florist ,888 Dunsmuir St ,523.0
26,4,49.28,-123.12,Robson & Granville,30,Flower Store,-1.0,Queensberry Flower Co ,655 Seymour St ,571.0
26,4,49.28,-123.12,Robson & Granville,30,Flower Store,-1.0,Fleurs d'Amour ,437 Robson St ,214.0
26,4,49.28,-123.12,Robson & Granville,30,Flower Store,-1.0,Bonus Eventus Florist ,345 Robson St ,334.0
26,4,49.28,-123.12,Robson & Granville,30,Flower Store,-1.0,Granville Station Flowers ,655 Seymour St ,380.0
26,4,49.28,-123.12,Robson & Granville,30,Seafood,4.5, Blue Water Cafe, 1095 Hamilton St,2244.53
26,4,49.28,-123.12,Robson & Granville,30,"Seafood, Steakhouses",4.0, Joe Fortes Seafood & Chop House, 777 Thurlow Street,3206.83
26,4,49.28,-123.12,Robson & Granville,30,Italian,4.5, Lupo, 869 Hamilton Street,2499.67
26,4,49.28,-123.12,Robson & Granville,30,"Breakfast & Brunch, Middle Eastern, Wine Bars",4.0, Medina Cafe, 780 Richards Street,2749.8
26,4,49.28,-123.12,Robson & Granville,30,"Canadian (New), Seafood",4.0, The Flying Pig, 1168 Hamilton Street,2108.81
7,12,49.28,-123.12,Nelson & Mainland,19,Restaurant,-1.0,Le Cassis Patisserie & Cooking School ,910 Beatty St ,514.0
7,12,49.28,-123.12,Nelson & Mainland,19,Flower Store,-1.0,Bay Fresh Flowers ,1b21-650 Georgia St W ,228.0
7,12,49.28,-123.12,Nelson & Mainland,19,Flower Store,-1.0,Divine Vines ,1024 Mainland St ,452.0
7,12,49.28,-123.12,Nelson & Mainland,19,Flower Store,-1.0,Angela & Gabriel's Flowers Inc ,925 Georgia St W ,472.0
7,12,49.28,-123.12,Nelson & Mainland,19,Flower Store,-1.0,7 Foot Florist ,888 Dunsmuir St ,523.0
7,12,49.28,-123.12,Nelson & Mainland,19,Flower Store,-1.0,Queensberry Flower Co ,655 Seymour St ,571.0
